gene	expr	reptime	hic
AP3B1	262852	592	40
AP3B2	509813	608	16
AP3D1	1712606	216	30
AP3M1	776926	227	49
AP3M2	580110	382	45
AP3S1	380598	759	6
AP3S2	952242	212	33
AP4B1	335231	545	13
AP4E1	343136	355	34
AP4M1	1401098	205	46
AP4S1	432061	238	23
APAF1	488214	461	11
APBA1	209495	673	-5
APBA2	161108	927	-21
APBA3	2144458	206	34
APBB1	424837	471	17
APBB1IP	236125	536	19
APBB2	227095	394	39
APBB3	706371	319	29
APC	247811	399	28
APC2	2352825	221	38
APCDD1	219220	604	2
APCDD1L	1027182	485	24
APCS	492825	646	-4
APEH	1551582	271	48
APEX1	464497	395	17
APEX2	245504	NaN	8
APH1A	1213150	197	38
APH1B	450620	272	49
API5	349378	924	-23
APIP	650532	399	1
APITD1	771199	383	28
APLF	227462	617	22
APLN	340263	NaN	46
APLNR	929334	250	-20
APLP1	1060028	321	47
APLP2	624855	203	15
APOA1	421374	323	39
APOA1BP	2049505	180	37
APOA2	728669	234	37
APOA4	419339	326	36
APOA5	419339	326	36
APOB	222162	698	-11
APOB48R	NaN	NaN	NaN
APOBEC1	237142	672	14
APOBEC2	145501	611	37
APOBEC3A	1413709	372	44
APOBEC3B	1413709	372	44
APOBEC3C	1386387	372	71
APOBEC3D	1386387	372	71
APOBEC3F	1386387	372	71
APOBEC3G	1386387	372	71
APOBEC3H	1225154	223	75
APOBEC4	NaN	NaN	NaN
APOC1	1003719	196	6
APOC2	1003719	196	6
APOC3	421374	323	39
APOC4	1003719	196	6
APOD	794351	315	38
APOE	1003719	196	6
APOF	2869106	184	52
APOH	135537	178	-23
APOL1	1237332	331	42
APOL2	1237332	331	42
APOL3	1228837	331	13
APOL4	1233084	331	28
APOL5	1161568	376	-43
APOL6	936853	205	-13
APOLD1	767161	129	35
APOM	2517236	193	20
APOO	509881	NaN	41
APOOL	83775	NaN	-12
APP	529745	793	-13
APPBP2	372707	242	7
APPL1	427002	389	33
APPL2	233879	387	30
APRT	813333	189	51
APTX	833170	286	-5
AQP1	402058	568	10
AQP10	1653296	236	29
AQP11	603969	401	30
AQP12A	1077835	446	25
AQP12B	1077835	446	25
AQP2	1033911	220	48
AQP3	1001877	166	4
AQP4	65361	639	-33
AQP5	1033911	220	48
AQP6	1033911	220	48
AQP7	982082	163	21
AQP8	189953	551	12
AQP9	242649	602	4
AQPEP	372067	763	17
AQR	468734	288	-5
AR	106188	NaN	-7
ARAF	775214	NaN	38
ARAP1	637045	234	54
ARAP2	28107	1066	26
ARAP3	771583	353	25
ARC	300961	567	26
ARCN1	1359480	167	47
AREG	172071	NaN	10
ARF1	702621	391	5
ARF3	1737773	214	55
ARF4	703082	422	29
ARF5	411207	619	-7
ARF6	680412	174	41
ARFGAP1	1278630	332	62
ARFGAP2	1206881	273	24
ARFGAP3	722786	187	60
ARFGEF1	307618	642	26
ARFGEF2	808420	174	49
ARFIP1	218185	385	33
ARFIP2	424988	469	20
ARFRP1	1126597	202	36
ARG1	147816	864	7
ARG2	481915	260	42
ARGFX	289448	613	18
ARGLU1	169398	1237	11
ARHGAP1	939971	176	44
ARHGAP10	75227	678	22
ARHGAP11A	244857	383	1
ARHGAP11B	220858	693	10
ARHGAP12	359237	346	25
ARHGAP15	57425	639	11
ARHGAP17	272834	185	22
ARHGAP18	73209	550	26
ARHGAP19	945635	397	26
ARHGAP20	146681	501	-5
ARHGAP21	164987	309	-3
ARHGAP22	NaN	NaN	NaN
ARHGAP24	29589	739	13
ARHGAP25	385975	470	20
ARHGAP26	156598	456	38
ARHGAP27	754492	194	21
ARHGAP28	241496	281	-28
ARHGAP29	466144	327	-9
ARHGAP30	689033	250	23
ARHGAP31	265987	585	23
ARHGAP32	195815	546	-11
ARHGAP33	1151198	321	30
ARHGAP36	65931	NaN	13
ARHGAP39	1706542	291	12
ARHGAP4	2328608	NaN	27
ARHGAP5	153921	392	1
ARHGAP6	65396	NaN	34
ARHGAP8	NaN	NaN	NaN
ARHGAP9	1347802	194	32
ARHGDIA	3798594	211	19
ARHGDIB	360900	426	8
ARHGDIG	1340678	205	43
